s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Khartoum,40610,SD01,15.851318,32.843002,Abu Jabrah,SD05140,10.9356,26.79963,43400
South Darfur,2250,SD03,11.00282,24.420469,Abu Jabrah,SD05140,10.9356,26.79963,43400
West Kordofan,665,SD18,11.906944,28.392115,Abu Jabrah,SD05140,10.9356,26.79963,43525
East Darfur,1250,SD05,11.017195,26.409638,Abu Jabrah,SD05140,10.9356,26.79963,1250
Khartoum,31560,SD01,15.851318,32.843002,Abu Karinka,SD05155,11.59401,26.55873,41585
South Darfur,25,SD03,11.00282,24.420469,Abu Karinka,SD05155,11.59401,26.55873,41585
East Darfur,10000,SD05,11.017195,26.409638,Abu Karinka,SD05155,11.59401,26.55873,41585
North Darfur,330,SD02,16.217571,25.556517,Abu Karinka,SD05155,11.59401,26.55873,330
Khartoum,36025,SD01,15.851318,32.843002,Ad Du'ayn,SD05142,11.42031,26.20074,120320
South Darfur,68005,SD03,11.00282,24.420469,Ad Du'ayn,SD05142,11.42031,26.20074,132820
West Kordofan,65,SD18,11.906944,28.392115,Ad Du'ayn,SD05142,11.42031,26.20074,120320
East Darfur,17000,SD05,11.017195,26.409638,Ad Du'ayn,SD05142,11.42031,26.20074,132820
North Darfur,7815,SD02,16.217571,25.556517,Ad Du'ayn,SD05142,11.42031,26.20074,120320
North Kordofan,3910,SD13,14.847728,29.761701,Ad Du'ayn,SD05142,11.42031,26.20074,120320
Khartoum,44625,SD01,15.851318,32.843002,Adila,SD05139,11.43547,27.00871,47225
South Darfur,3120,SD03,11.00282,24.420469,Adila,SD05139,11.43547,27.00871,48105
East Darfur,615,SD05,11.017195,26.409638,Adila,SD05139,11.43547,27.00871,47740
West Kordofan,260,SD18,11.906944,28.392115,Adila,SD05139,11.43547,27.00871,880
Khartoum,400,SD01,15.851318,32.843002,Al Fasher,SD02114,13.779,25.37041,16953
South Darfur,18538,SD03,11.00282,24.420469,Al Fasher,SD02114,13.779,25.37041,130995
North Darfur,143425,SD02,16.217571,25.556517,Al Fasher,SD02114,13.779,25.37041,162308
South Darfur,6315,SD03,11.00282,24.420469,Ag Geneina,SD04115,13.35858,22.35312,18615
West Darfur,20855,SD04,13.519303,22.616657,Ag Geneina,SD04115,13.35858,22.35312,24395
